<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLT.US,5,20251111,184000,89.99,90.01,89.98,89.995,106368,0
TLT.US,5,20251111,184500,90,90,89.96,89.96,99488,0
TLT.US,5,20251111,185000,89.96,89.97,89.94,89.95,124460,0
TLT.US,5,20251111,185500,89.95,89.95,89.93,89.94,117133,0
TLT.US,5,20251111,190000,89.935,89.96,89.9323,89.945,126046,0
TLT.US,5,20251111,190500,89.9499,89.95,89.9301,89.9401,54432,0
TLT.US,5,20251111,191000,89.94,89.95,89.94,89.945,17477,0
TLT.US,5,20251111,191500,89.945,89.97,89.93,89.97,123849,0
TLT.US,5,20251111,192000,89.97,89.99,89.9614,89.975,66886,0
TLT.US,5,20251111,192500,89.975,89.98,89.945,89.95,95240,0
TLT.US,5,20251111,193000,89.95,89.95,89.9,89.91,84104,0
TLT.US,5,20251111,193500,89.91,89.915,89.88,89.915,110573,0
TLT.US,5,20251111,194000,89.91,89.915,89.88,89.885,41449,0
TLT.US,5,20251111,194500,89.885,89.9299,89.88,89.925,104237,0
TLT.US,5,20251111,195000,89.925,89.93,89.91,89.91,104330,0
TLT.US,5,20251111,195500,89.9158,89.925,89.91,89.92,38540,0
TLT.US,5,20251111,200000,89.92,89.93,89.91,89.9101,30285,0
TLT.US,5,20251111,200500,89.915,89.925,89.9,89.905,63950,0
TLT.US,5,20251111,201000,89.905,89.92,89.9035,89.9199,35864,0
TLT.US,5,20251111,201500,89.9101,89.9375,89.91,89.9375,92822,0
TLT.US,5,20251111,202000,89.935,89.94,89.92,89.9201,199507,0
TLT.US,5,20251111,202500,89.92,89.93,89.92,89.9276,43137,0
TLT.US,5,20251111,203000,89.925,89.925,89.9,89.9101,130482,0
TLT.US,5,20251111,203500,89.91,89.92,89.9024,89.905,21139,0
TLT.US,5,20251111,204000,89.905,89.93,89.9,89.905,85213,0
TLT.US,5,20251111,204500,89.9,89.93,89.9,89.915,98436,0
TLT.US,5,20251111,205000,89.91,89.92,89.9,89.9035,40528,0
TLT.US,5,20251111,205500,89.905,89.9375,89.9004,89.925,81993,0
TLT.US,5,20251111,210000,89.925,89.9358,89.88,89.885,97448,0
TLT.US,5,20251111,210500,89.88,89.89,89.87,89.875,54976,0
TLT.US,5,20251111,211000,89.8744,89.935,89.8744,89.935,75352,0
TLT.US,5,20251111,211500,89.94,89.94,89.92,89.925,45972,0
TLT.US,5,20251111,212000,89.93,89.94,89.9216,89.935,68537,0
TLT.US,5,20251111,212500,89.93222,89.95,89.93,89.94,156861,0
