<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LQD.US,5,20251205,154500,110.965,110.98,110.95,110.975,320626,0
LQD.US,5,20251205,155000,110.975,110.995,110.965,110.99,176104,0
LQD.US,5,20251205,155500,110.985,110.995,110.97,110.995,134553,0
LQD.US,5,20251205,160000,111,111.01,110.945,110.945,185755,0
LQD.US,5,20251205,160500,110.945,110.995,110.92,110.965,717361,0
LQD.US,5,20251205,161000,110.965,111,110.95,110.995,213268,0
LQD.US,5,20251205,161500,110.995,111.01,110.98,110.99,336300,0
LQD.US,5,20251205,162000,111,111.03,110.98,110.99,882477,0
LQD.US,5,20251205,162500,110.989,110.989,110.95,110.98,463160,0
LQD.US,5,20251205,163000,110.985,110.985,110.94,110.945,109376,0
LQD.US,5,20251205,163500,110.945,110.95,110.9101,110.925,519775,0
LQD.US,5,20251205,164000,110.92,110.9296,110.89,110.9,295476,0
LQD.US,5,20251205,164500,110.895,110.91,110.825,110.835,327024,0
LQD.US,5,20251205,165000,110.83,110.84,110.8,110.815,231145,0
LQD.US,5,20251205,165500,110.815,110.825,110.8,110.8231,224120,0
LQD.US,5,20251205,170000,110.825,110.825,110.8,110.815,352173,0
LQD.US,5,20251205,170500,110.815,110.83,110.795,110.795,267643,0
LQD.US,5,20251205,171000,110.795,110.8,110.775,110.7789,207432,0
LQD.US,5,20251205,171500,110.775,110.775,110.745,110.765,299348,0
LQD.US,5,20251205,172000,110.765,110.7654,110.72,110.745,143481,0
LQD.US,5,20251205,172500,110.745,110.7589,110.71,110.72,132416,0
LQD.US,5,20251205,173000,110.715,110.735,110.7125,110.7254,215175,0
LQD.US,5,20251205,173500,110.73,110.735,110.72,110.73,84873,0
LQD.US,5,20251205,174000,110.73,110.77,110.72,110.755,299556,0
LQD.US,5,20251205,174500,110.755,110.795,110.755,110.785,83272,0
LQD.US,5,20251205,175000,110.78,110.785,110.7731,110.785,49375,0
LQD.US,5,20251205,175500,110.785,110.81,110.78,110.795,205296,0
LQD.US,5,20251205,180000,110.795,110.795,110.78,110.7899,174252,0
LQD.US,5,20251205,180500,110.79,110.815,110.7811,110.805,53665,0
LQD.US,5,20251205,181000,110.805,110.825,110.8,110.825,373205,0
LQD.US,5,20251205,181500,110.825,110.83,110.805,110.81,204308,0
LQD.US,5,20251205,182000,110.815,110.815,110.795,110.795,113150,0
LQD.US,5,20251205,182500,110.8,110.805,110.76,110.765,308285,0
LQD.US,5,20251205,183000,110.765,110.775,110.73,110.745,296856,0
LQD.US,5,20251205,183500,110.745,110.755,110.73,110.73,250265,0
LQD.US,5,20251205,184000,110.735,110.735,110.715,110.725,97630,0
LQD.US,5,20251205,184500,110.725,110.73,110.7023,110.71,269498,0
LQD.US,5,20251205,185000,110.715,110.745,110.71,110.74,394325,0
LQD.US,5,20251205,185500,110.735,110.735,110.715,110.725,596290,0
LQD.US,5,20251205,190000,110.725,110.74,110.72,110.73,91645,0
LQD.US,5,20251205,190500,110.74,110.755,110.74,110.755,184136,0
LQD.US,5,20251205,191000,110.755,110.76,110.745,110.76,727830,0
LQD.US,5,20251205,191500,110.755,110.785,110.75,110.765,406032,0
LQD.US,5,20251205,192000,110.77,110.79,110.75,110.785,204611,0
LQD.US,5,20251205,192500,110.78,110.8,110.78,110.795,52902,0
LQD.US,5,20251205,193000,110.8,110.81,110.78,110.8001,210275,0
LQD.US,5,20251205,193500,110.805,110.82,110.79,110.815,342154,0
LQD.US,5,20251205,194000,110.81,110.82,110.78,110.785,401603,0
LQD.US,5,20251205,194500,110.78,110.81,110.78,110.795,242817,0
LQD.US,5,20251205,195000,110.795,110.8,110.77,110.785,266083,0
LQD.US,5,20251205,195500,110.79,110.79,110.77,110.78,237636,0
LQD.US,5,20251205,200000,110.78,110.79,110.775,110.79,147550,0
LQD.US,5,20251205,200500,110.785,110.8,110.785,110.795,164312,0
LQD.US,5,20251205,201000,110.795,110.81,110.79,110.795,194041,0
LQD.US,5,20251205,201500,110.8,110.8,110.78,110.785,116301,0
LQD.US,5,20251205,202000,110.785,110.79,110.775,110.785,109529,0
LQD.US,5,20251205,202500,110.785,110.79,110.78,110.785,85251,0
LQD.US,5,20251205,203000,110.785,110.79,110.775,110.785,208494,0
LQD.US,5,20251205,203500,110.785,110.8,110.78,110.7928,130070,0
LQD.US,5,20251205,204000,110.795,110.82,110.795,110.8124,114789,0
LQD.US,5,20251205,204500,110.815,110.82,110.8,110.8058,192770,0
LQD.US,5,20251205,205000,110.8099,110.82,110.78,110.8,231879,0
LQD.US,5,20251205,205500,110.8,110.81,110.785,110.795,375755,0
LQD.US,5,20251205,210000,110.795,110.8,110.78,110.79,243967,0
LQD.US,5,20251205,210500,110.795,110.8,110.79,110.79,210634,0
LQD.US,5,20251205,211000,110.79,110.81,110.79,110.805,366366,0
LQD.US,5,20251205,211500,110.8,110.81,110.795,110.81,149618,0
LQD.US,5,20251205,212000,110.81,110.81,110.8,110.805,147994,0
LQD.US,5,20251205,212500,110.805,110.82,110.804,110.815,154554,0
LQD.US,5,20251205,213000,110.815,110.82,110.81,110.82,57659,0
LQD.US,5,20251205,213500,110.82,110.82,110.805,110.81,196575,0
LQD.US,5,20251205,214000,110.805,110.84,110.8,110.835,377209,0
LQD.US,5,20251205,214500,110.835,110.8399,110.82,110.825,166832,0
LQD.US,5,20251205,215000,110.825,110.8499,110.82,110.8299,463109,0
LQD.US,5,20251205,215500,110.825,110.87,110.82,110.86,2821597,0
LQD.US,5,20251208,153000,110.87,110.885,110.81,110.81,472179,0
LQD.US,5,20251208,153500,110.81,110.81,110.77,110.775,1524762,0
LQD.US,5,20251208,154000,110.775,110.78,110.73,110.75,280352,0
LQD.US,5,20251208,154500,110.755,110.77,110.65,110.6506,995263,0
LQD.US,5,20251208,155000,110.65,110.66,110.56,110.59,787521,0
